target,protocol,model,family,split,status,n_train,n_test,train_year_min,train_year_max,test_year_min,test_year_max,r2,r2_log1p,rmse,mae,mape
A,temporal,RF,bagging,test,ok,938,34,2000,2021,2022,2026,0.09876937530142726,0.13177296664967098,18.23246809236124,7.600642954609036,49.5315863993177
A,temporal,RF_raw,bagging_raw,test,ok,938,34,2000,2021,2022,2026,0.09879689933897229,0.03542859226727779,18.23218967585266,8.418462058823534,61.30542015146949
A,temporal,ExtraTrees,bagging,test,ok,938,34,2000,2021,2022,2026,0.11726340284681591,0.1429910533902946,18.044425429231875,7.488437341626671,50.43083690825817
A,temporal,ExtraTrees_raw,bagging_raw,test,ok,938,34,2000,2021,2022,2026,0.13919923730000827,0.08815468491220946,17.818814768042312,7.879814819004523,60.28541618032849
A,temporal,HistGBR,boosting,test,ok,938,34,2000,2021,2022,2026,0.24314130013427548,0.1485886248827203,16.70840121618541,7.277257620300382,49.74454307885072
A,temporal,HistGBR_raw,boosting_raw,test,ok,938,34,2000,2021,2022,2026,0.4187986756998944,-0.08449081306469286,14.64167589821706,8.113445077355088,73.20953042217685
A,temporal,ElasticNet,linear,test,ok,938,34,2000,2021,2022,2026,0.10304217678160732,0.13983813632530695,18.189195998136146,7.230429688267067,55.981397859000246
A,temporal,PLSR,linear,test,ok,938,34,2000,2021,2022,2026,0.09057077871479213,0.10317202229298117,18.315211745091048,7.464016496533824,58.051681340142416
A,temporal,XGBoost,boosting,test,ok,938,34,2000,2021,2022,2026,0.15366067766778024,0.19916993762798485,17.66850286936665,7.153781926659977,47.60786566095484
A,temporal,XGBoost_raw,boosting_raw,test,ok,938,34,2000,2021,2022,2026,0.3224320034279622,0.3138721775404498,15.808983060548595,6.575272975697237,47.222787224969906
A,temporal,LightGBM,boosting,test,ok,938,34,2000,2021,2022,2026,0.26842434343636945,0.080937157027271,16.426956781879202,7.762049405850758,56.76266957240098
A,temporal,LightGBM_raw,boosting_raw,test,ok,938,34,2000,2021,2022,2026,0.13478269669937248,0.005177409569395275,17.86446809247375,8.37442693556759,59.62103217507908
A,temporal,CatBoost,boosting,test,ok,938,34,2000,2021,2022,2026,0.12876101421907427,0.18020145633934137,17.92652627759968,7.259578095483969,47.58056254274617
A,temporal,CatBoost_raw,boosting_raw,test,ok,938,34,2000,2021,2022,2026,0.3086500053875638,0.2971934929309965,15.968954136107406,6.772069636401694,48.43441109079851
A,temporal,NGBoost,boosting,test,ok,938,34,2000,2021,2022,2026,0.08317766883031386,0.16479887981431807,18.38950685776121,7.1836952548441815,47.41089673769617
A,temporal,WeightedEnsemble,ensemble,test,ok,938,34,2000,2021,2022,2026,0.18761963035626072,0.17780010391828627,17.310403926441577,7.333353692471296,50.221786187474
A,random,RF,bagging,test,ok,777,195,2000,2026,2002,2025,0.03033117284411857,0.27155799414761217,30.16578753164969,7.067098353796602,39.44703367807666
A,random,RF_raw,bagging_raw,test,ok,777,195,2000,2026,2002,2025,0.10771042706520595,0.22241906269547895,28.937156943240783,7.997935779092705,49.79052742980935
A,random,ExtraTrees,bagging,test,ok,777,195,2000,2026,2002,2025,0.03889288015557846,0.3056097564724386,30.03231759402469,7.003645482649746,38.42004272888773
A,random,ExtraTrees_raw,bagging_raw,test,ok,777,195,2000,2026,2002,2025,0.09122161573238097,0.22398491325653136,29.203301018109247,7.981676976331363,50.45068611989395
A,random,HistGBR,boosting,test,ok,777,195,2000,2026,2002,2025,0.021707750826652994,0.1721803686983403,30.29962524864531,7.5306398253117806,42.81157347547862
A,random,HistGBR_raw,boosting_raw,test,ok,777,195,2000,2026,2002,2025,0.014585998050425153,-0.27363057890951503,30.409712568627466,8.793473115706382,59.566341653328315
A,random,ElasticNet,linear,test,ok,777,195,2000,2026,2002,2025,0.04501821278575735,0.24740065506170517,29.936463568365138,7.122848751247159,42.50627495112714
A,random,PLSR,linear,test,ok,777,195,2000,2026,2002,2025,0.026877533314457525,0.22188003439440585,30.219460060323392,7.208984353733703,43.10196161766188
A,random,XGBoost,boosting,test,ok,777,195,2000,2026,2002,2025,0.043904689066634583,0.2610392412984226,29.953911676321393,7.285633130303409,41.50556948580339
A,random,XGBoost_raw,boosting_raw,test,ok,777,195,2000,2026,2002,2025,0.12496469814158107,0.19009437322546896,28.65601117614471,7.839862103173672,50.178283063049356
A,random,LightGBM,boosting,test,ok,777,195,2000,2026,2002,2025,0.007477501259298913,0.1336944606689484,30.519198988104684,7.711922054433965,43.0965672388368
A,random,LightGBM_raw,boosting_raw,test,ok,777,195,2000,2026,2002,2025,0.004990649117736168,-0.09076895087211478,30.557409332678205,9.059767451479745,56.90636456973833
A,random,CatBoost,boosting,test,ok,777,195,2000,2026,2002,2025,0.053016040020643085,0.3046052451904653,29.810843337959966,7.033192848233608,39.37515567641125
A,random,CatBoost_raw,boosting_raw,test,ok,777,195,2000,2026,2002,2025,0.1151005877515695,0.2533794017481372,28.817075481279755,7.471491188819602,47.758693480978835
A,random,NGBoost,boosting,test,ok,777,195,2000,2026,2002,2025,0.038658099140402635,0.2549783393216333,30.035985544927822,7.227739480382829,40.43188246365681
A,random,WeightedEnsemble,ensemble,test,ok,777,195,2000,2026,2002,2025,0.03723350692350946,0.2662967301271575,30.0582321519312,7.170632279144586,40.21490915474318
B,temporal,RF,bagging,test,ok,938,34,2000,2021,2022,2026,-0.09579683237217207,-0.24996899544965268,2.152859161362293,1.0914090130210559,402.98988516653696
B,temporal,RF_raw,bagging_raw,test,ok,938,34,2000,2021,2022,2026,-5.511139345060362,-2.164462915725561,5.247821978157443,2.4276546719457004,996.4867695181352
B,temporal,ExtraTrees,bagging,test,ok,938,34,2000,2021,2022,2026,-0.10010432869716346,-0.15655668014183655,2.157086376310025,1.026651031046318,389.85621556586597
B,temporal,ExtraTrees_raw,bagging_raw,test,ok,938,34,2000,2021,2022,2026,-2.141987427253319,-2.175255677906488,3.6454640568585748,2.231462194570136,991.3862933465247
B,temporal,HistGBR,boosting,test,ok,938,34,2000,2021,2022,2026,-0.1527972208783972,-0.32999844131469813,2.208142311340983,1.1006141640368894,452.19463875672494
B,temporal,HistGBR_raw,boosting_raw,test,ok,938,34,2000,2021,2022,2026,-2.1232187809069276,-1.7385824041918,3.634559667387177,2.023702500503313,821.802277096585
B,temporal,ElasticNet,linear,test,ok,938,34,2000,2021,2022,2026,-0.06037146472178789,-0.15835085368443624,2.1177740148133175,1.0192297918664384,404.7488700684524
B,temporal,PLSR,linear,test,ok,938,34,2000,2021,2022,2026,-0.09503058398526254,-0.19309151600346453,2.1521063241156897,1.039222788407608,408.9206775767442
B,temporal,XGBoost,boosting,test,ok,938,34,2000,2021,2022,2026,-0.3239557711269989,-0.2867926960176257,2.3663955375042183,1.0849559646844864,342.9079913257421
B,temporal,XGBoost_raw,boosting_raw,test,ok,938,34,2000,2021,2022,2026,-4.517982266109304,-2.083279105999114,4.831041290136937,2.2830481126816835,911.7562299172953
B,temporal,LightGBM,boosting,test,ok,938,34,2000,2021,2022,2026,-0.08385022388352836,-0.34071992449159705,2.141091537564593,1.1004432053196749,469.31028144125895
B,temporal,LightGBM_raw,boosting_raw,test,ok,938,34,2000,2021,2022,2026,-3.7459048008609823,-2.3367276701229924,4.480331104566072,2.3701879395412075,868.8345511097609
B,temporal,CatBoost,boosting,test,ok,938,34,2000,2021,2022,2026,-0.1230013566717183,-0.14091012612150933,2.1794190345767874,1.0060814795557316,337.453569258407
B,temporal,CatBoost_raw,boosting_raw,test,ok,938,34,2000,2021,2022,2026,-2.881681167231153,-1.7180580339964417,4.0519168952966345,2.076624352172796,754.8610416099414
B,temporal,NGBoost,boosting,test,ok,938,34,2000,2021,2022,2026,-1.6059753460968786,-0.5404968369202103,3.3199821638391103,1.322205318661203,376.3637256067238
B,temporal,WeightedEnsemble,ensemble,test,ok,938,34,2000,2021,2022,2026,-0.06333003490025191,-0.18033876359778667,2.1207263852315523,1.0437094643021732,403.63597700072455
B,random,RF,bagging,test,ok,777,195,2000,2026,2002,2025,0.0367436991738177,0.1487435172958994,4.83414102892667,1.3842170070333568,232.32282902936743
B,random,RF_raw,bagging_raw,test,ok,777,195,2000,2026,2002,2025,-0.8114749363481999,-0.23869349400231288,6.629252356334029,2.0229250295857972,463.1416639258131
B,random,ExtraTrees,bagging,test,ok,777,195,2000,2026,2002,2025,0.04248051305964906,0.18892134301275532,4.819724314436492,1.3583203241227098,211.68423312596195
B,random,ExtraTrees_raw,bagging_raw,test,ok,777,195,2000,2026,2002,2025,-0.8830412456689858,-0.16389900611079722,6.758935520031371,2.0424739053254424,482.3738621931825
B,random,HistGBR,boosting,test,ok,777,195,2000,2026,2002,2025,0.035033746603126636,0.1666520870302951,4.838429859765168,1.386250287585149,217.29404612498726
B,random,HistGBR_raw,boosting_raw,test,ok,777,195,2000,2026,2002,2025,0.08744483894177446,-0.14884835630637694,4.705198498231946,1.7733078803287923,484.8806284698709
B,random,ElasticNet,linear,test,ok,777,195,2000,2026,2002,2025,-15.428053572504517,-0.11180824844010484,19.963718715857112,3.04369410249832,320.2402227237683
B,random,PLSR,linear,test,ok,777,195,2000,2026,2002,2025,-39.26132046566616,-0.18495636634586177,31.253049094096255,4.009217870181829,360.2726543682868
B,random,XGBoost,boosting,test,ok,777,195,2000,2026,2002,2025,0.05578545684867153,0.20383461141467663,4.7861216123655215,1.333762981828421,194.82203914677143
B,random,XGBoost_raw,boosting_raw,test,ok,777,195,2000,2026,2002,2025,-0.8430498882778636,-0.010138455224753429,6.686778423171532,1.8331525930260848,363.74524066318827
B,random,LightGBM,boosting,test,ok,777,195,2000,2026,2002,2025,0.020725577442869847,0.10814052771196003,4.874169105515976,1.4164121540962604,222.8916740283319
B,random,LightGBM_raw,boosting_raw,test,ok,777,195,2000,2026,2002,2025,-0.010961169877304444,-0.2703924726617726,4.95239896810632,1.75592358484019,419.13377695149956
B,random,CatBoost,boosting,test,ok,777,195,2000,2026,2002,2025,0.0487098446131895,0.21375787979948746,4.804020899592243,1.3176810479309802,187.58188512377885
B,random,CatBoost_raw,boosting_raw,test,ok,777,195,2000,2026,2002,2025,-0.45754636889219014,-0.0945120019283836,5.946474718804335,1.8132355698419844,405.52206614350547
B,random,NGBoost,boosting,test,ok,777,195,2000,2026,2002,2025,0.0348270539036688,0.16026193158592283,4.838948020155863,1.3818898580480745,210.21012605885846
B,random,WeightedEnsemble,ensemble,test,ok,777,195,2000,2026,2002,2025,0.05127615892811277,0.2005601671620455,4.797536572195296,1.351880599175649,203.2170308586041
C,temporal,RF,bagging,test,ok,938,34,2000,2021,2022,2026,-0.06034971282200763,-0.3043633608851535,35.03125415980201,24.04059273083029,67.41064571236838
C,temporal,RF_raw,bagging_raw,test,ok,938,34,2000,2021,2022,2026,-0.3750430801230584,-0.9295788858350302,39.8923184015258,33.12259091628961,103.11705233161933
C,temporal,ExtraTrees,bagging,test,ok,938,34,2000,2021,2022,2026,-0.055421716859819004,-0.2940822235409404,34.949755139126474,22.874802575476252,64.42004913102343
C,temporal,ExtraTrees_raw,bagging_raw,test,ok,938,34,2000,2021,2022,2026,-0.5426895579828204,-0.9795250936428135,42.25424968299035,33.114489140271495,103.08618099669786
C,temporal,HistGBR,boosting,test,ok,938,34,2000,2021,2022,2026,-0.03445632184016567,-0.15130084798203192,34.600884702747564,22.83466991692686,59.258411581187595
C,temporal,HistGBR_raw,boosting_raw,test,ok,938,34,2000,2021,2022,2026,-0.1183570337761588,-0.4600376431617239,35.97670301040568,28.870469606206644,83.50509581778343
C,temporal,ElasticNet,linear,test,ok,938,34,2000,2021,2022,2026,-0.05224278179784281,-0.43381891672832373,34.897081033997615,27.09231286036827,78.83929974858046
C,temporal,PLSR,linear,test,ok,938,34,2000,2021,2022,2026,-0.14118125690586258,-0.5656898912483306,36.34196780668047,28.71189771125523,84.22215173472986
C,temporal,XGBoost,boosting,test,ok,938,34,2000,2021,2022,2026,0.003233364315374021,-0.17693176222956675,33.964706855234446,21.97187142226275,58.233028838526316
C,temporal,XGBoost_raw,boosting_raw,test,ok,938,34,2000,2021,2022,2026,-0.04168259812536368,-0.372343055579482,34.72152798418457,25.914600129071403,74.95990590855858
C,temporal,LightGBM,boosting,test,ok,938,34,2000,2021,2022,2026,-0.05570137971298528,-0.20341112088687696,34.95438527923414,23.486456121706176,61.917792097907935
C,temporal,LightGBM_raw,boosting_raw,test,ok,938,34,2000,2021,2022,2026,-0.2968469511379983,-0.6563101743330468,38.74141571666534,30.528111940049165,89.70953951621668
C,temporal,CatBoost,boosting,test,ok,938,34,2000,2021,2022,2026,-0.0349635946003477,-0.2473383218182783,34.609367388127055,22.463995770247067,62.32038474732322
C,temporal,CatBoost_raw,boosting_raw,test,ok,938,34,2000,2021,2022,2026,-0.17360279565716574,-0.5951645644663379,36.85459915334881,29.238601797966933,87.42629843129566
C,temporal,NGBoost,boosting,test,ok,938,34,2000,2021,2022,2026,-0.044529305032826594,-0.23616271274886103,34.76893905597193,23.261427144794244,62.57421470171251
C,temporal,WeightedEnsemble,ensemble,test,ok,938,34,2000,2021,2022,2026,-0.038441703243285774,-0.25058589092139183,34.66747289859215,22.75427520419882,62.83480987333269
C,random,RF,bagging,test,ok,777,195,2000,2026,2002,2025,0.0014031213552069266,0.25865530229373723,31.76331113725924,20.762481482951106,37.380365053730095
C,random,RF_raw,bagging_raw,test,ok,777,195,2000,2026,2002,2025,-0.0419736504318331,0.20229891887755458,32.445840949868014,21.937273390532546,46.276852423175406
C,random,ExtraTrees,bagging,test,ok,777,195,2000,2026,2002,2025,0.04666012921510809,0.3251237677075839,31.035199746865704,19.76561831538109,34.93354231368869
C,random,ExtraTrees_raw,bagging_raw,test,ok,777,195,2000,2026,2002,2025,0.09517392606146435,0.307455157010026,30.235226064141717,20.425213165680475,41.974991041516205
C,random,HistGBR,boosting,test,ok,777,195,2000,2026,2002,2025,-0.034082219286795556,0.2288912400231916,32.32274246535353,20.78303616877476,36.91412447235379
C,random,HistGBR_raw,boosting_raw,test,ok,777,195,2000,2026,2002,2025,-0.04770898036010229,0.17838930501791672,32.53501414280448,22.005346516254278,44.29841805014373
C,random,ElasticNet,linear,test,ok,777,195,2000,2026,2002,2025,0.020352313910171338,0.14738481306276163,31.460500331854988,22.0411824213405,45.78773868771563
C,random,PLSR,linear,test,ok,777,195,2000,2026,2002,2025,0.01349662278749475,0.1435222949774454,31.570390573952956,22.148448707968868,45.800177647748406
C,random,XGBoost,boosting,test,ok,777,195,2000,2026,2002,2025,0.037218494605395724,0.297928097849104,31.188503457985686,20.576766610130896,37.178809256229364
C,random,XGBoost_raw,boosting_raw,test,ok,777,195,2000,2026,2002,2025,0.030211325354398744,0.23286461255019897,31.301793399619076,21.309343096767332,45.140060275050196
C,random,LightGBM,boosting,test,ok,777,195,2000,2026,2002,2025,-0.03477963820383523,0.22120652753126202,32.33364038626252,21.18002048405201,37.500422819348
C,random,LightGBM_raw,boosting_raw,test,ok,777,195,2000,2026,2002,2025,-0.01592984117859597,0.2230787622271303,32.0377881446125,21.7295698476628,43.685573173808976
C,random,CatBoost,boosting,test,ok,777,195,2000,2026,2002,2025,0.05967579548381041,0.30716588481602314,30.822614477485157,20.615346508382224,37.640219987284325
C,random,CatBoost_raw,boosting_raw,test,ok,777,195,2000,2026,2002,2025,0.10968386139371633,0.22861952466061308,29.991817831626044,21.143567232594936,46.500921453739274
C,random,NGBoost,boosting,test,ok,777,195,2000,2026,2002,2025,0.017873690572283163,0.24868157309982908,31.500274563918442,20.943593910233687,38.53418867023733
C,random,WeightedEnsemble,ensemble,test,ok,777,195,2000,2026,2002,2025,0.05544478462132041,0.3228785278280756,30.89188018845613,20.206357937921258,36.32631791216464
D,temporal,RF,bagging,test,ok,938,34,2000,2021,2022,2026,0.12839732168157691,0.29842692444221597,47.051277027894464,17.051060393369692,28.76351768746357
D,temporal,RF_raw,bagging_raw,test,ok,938,34,2000,2021,2022,2026,-0.02649348584558009,0.04939163677477787,51.061108169115556,24.42829030542986,49.95419535355663
D,temporal,ExtraTrees,bagging,test,ok,938,34,2000,2021,2022,2026,0.10714312432470796,0.2806225608041363,47.621498900290796,17.900645242396116,29.723203381233454
D,temporal,ExtraTrees_raw,bagging_raw,test,ok,938,34,2000,2021,2022,2026,0.20619498156461602,-0.01945179117079654,44.9023486035401,23.140859389140257,55.01036350802706
D,temporal,HistGBR,boosting,test,ok,938,34,2000,2021,2022,2026,0.10357489701892098,0.19610043104518327,47.71656167220143,17.58968961755286,30.633347066842433
D,temporal,HistGBR_raw,boosting_raw,test,ok,938,34,2000,2021,2022,2026,-0.02933173070425621,-0.622592847047033,51.1316511826214,25.492711041418602,54.47938284108468
D,temporal,ElasticNet,linear,test,ok,938,34,2000,2021,2022,2026,0.15727767295690176,0.3477473183966,46.265193964698476,16.603212897898462,28.53524131906779
D,temporal,PLSR,linear,test,ok,938,34,2000,2021,2022,2026,0.15243241219221715,0.3176739568773985,46.39800499333013,16.93388981054509,30.242750713801573
D,temporal,XGBoost,boosting,test,ok,938,34,2000,2021,2022,2026,0.1601409731352924,0.35703083641493805,46.18652994390888,15.990462634367104,26.576897113812343
D,temporal,XGBoost_raw,boosting_raw,test,ok,938,34,2000,2021,2022,2026,-0.7960249045445202,0.092701198096382,67.54112876399947,25.683502473718978,41.43085559201425
D,temporal,LightGBM,boosting,test,ok,938,34,2000,2021,2022,2026,0.12899383991085211,0.20371530429256968,47.035173504465256,18.00302440262566,33.09990514104517
D,temporal,LightGBM_raw,boosting_raw,test,ok,938,34,2000,2021,2022,2026,-0.2245313886346656,-0.08450012661699269,55.769544593721875,25.94342325773211,50.122651442918276
D,temporal,CatBoost,boosting,test,ok,938,34,2000,2021,2022,2026,0.13829238935686616,0.3286458277318738,46.78343450946031,17.095455095319526,28.204607045207155
D,temporal,CatBoost_raw,boosting_raw,test,ok,938,34,2000,2021,2022,2026,0.06351141391121984,0.17390694695705633,48.771193264710725,20.84241288397434,40.36480475617651
D,temporal,NGBoost,boosting,test,ok,938,34,2000,2021,2022,2026,0.32077723190750984,0.5205960875542555,41.53538638171992,15.275438143872103,26.176447030224615
D,temporal,WeightedEnsemble,ensemble,test,ok,938,34,2000,2021,2022,2026,0.13607537982274143,0.3302745806195403,46.843578282263564,16.959601533101598,28.328701432676507
D,random,RF,bagging,test,ok,777,195,2000,2026,2002,2025,0.08918275711224632,0.13967186031100165,41.33787528105578,17.079273862876974,45.73695093767805
D,random,RF_raw,bagging_raw,test,ok,777,195,2000,2026,2002,2025,-0.09976838962282764,-0.14185885684193345,45.42376675143404,20.82726485996055,68.67350691627372
D,random,ExtraTrees,bagging,test,ok,777,195,2000,2026,2002,2025,0.1047522782313669,0.18066848837111882,40.98303726990825,16.392656100119073,41.736707328052795
D,random,ExtraTrees_raw,bagging_raw,test,ok,777,195,2000,2026,2002,2025,-0.03285134607574802,-0.12455886814908146,44.02014195105232,20.636574564102563,66.83910855998823
D,random,HistGBR,boosting,test,ok,777,195,2000,2026,2002,2025,0.061340005608596315,0.060476495334067626,41.964947399748226,18.242656803583117,50.137433491285655
D,random,HistGBR_raw,boosting_raw,test,ok,777,195,2000,2026,2002,2025,-0.23729137805679623,-0.5539230773557107,48.180191524010304,23.350349008257705,75.94012129850137
D,random,ElasticNet,linear,test,ok,777,195,2000,2026,2002,2025,0.06433313247862726,0.10611519230098343,41.8979866773379,17.16408361955744,47.535119991210266
D,random,PLSR,linear,test,ok,777,195,2000,2026,2002,2025,0.025995072501104333,0.0823336237352128,42.747734732523,17.406628526106125,48.77199933658871
D,random,XGBoost,boosting,test,ok,777,195,2000,2026,2002,2025,0.13074572076494284,0.16391636106505147,40.38368516375756,16.909326253998586,44.31024928208934
D,random,XGBoost_raw,boosting_raw,test,ok,777,195,2000,2026,2002,2025,-0.049660000248769265,-0.11845307905088309,44.37688894426651,20.09882271102514,64.96286228767438
D,random,LightGBM,boosting,test,ok,777,195,2000,2026,2002,2025,0.022955260792672405,0.02329640171824099,42.81438934128035,18.197561682751118,46.960657309595675
D,random,LightGBM_raw,boosting_raw,test,ok,777,195,2000,2026,2002,2025,-0.21877505272768727,-0.4130037342793025,47.8183192041915,23.44292011817937,77.30264336622956
D,random,CatBoost,boosting,test,ok,777,195,2000,2026,2002,2025,0.12048396902458514,0.16902365013919762,40.62135524694798,16.568274565574256,43.5073597895516
D,random,CatBoost_raw,boosting_raw,test,ok,777,195,2000,2026,2002,2025,0.05352289993774584,-0.0232763399484186,42.13932591579448,19.154451412099007,60.923629948230825
D,random,NGBoost,boosting,test,ok,777,195,2000,2026,2002,2025,-0.010417730452279228,0.08165098698794815,43.53945695272583,17.837315181195557,47.71209287123217
