target,quantile,threshold_value,model,split,n_train,n_eval,n_positive,auc,average_precision,threshold,precision,recall,f1,positive_rate,predicted_positive_rate,validation_auc,validation_average_precision,validation_f1
A,0.9,20.48,LogisticL2,validation_2019_2020,815,100,15,0.6274509803921569,0.30670654077024684,0.8510033152008318,0.3,0.4,0.34285714285714286,0.15,0.2,,,
A,0.9,20.48,RandomForest,validation_2019_2020,815,100,15,0.6901960784313727,0.4086892995283948,0.3377441244049551,0.36,0.6,0.45,0.15,0.25,,,
A,0.9,20.48,ExtraTrees,validation_2019_2020,815,100,15,0.6807843137254902,0.4493051555534178,0.5186153243986023,0.6,0.4,0.48,0.15,0.1,,,
A,0.9,20.48,HistGB,validation_2019_2020,815,100,15,0.7011764705882353,0.3650767218744435,0.013012532224299087,0.36666666666666664,0.7333333333333333,0.4888888888888889,0.15,0.3,,,
A,0.9,20.48,ExtraTrees,test_2022_2026,938,34,5,0.8068965517241379,0.39903846153846156,0.5186153243986023,0.0,0.0,0.0,0.14705882352941177,0.029411764705882353,0.6807843137254902,0.4493051555534178,0.48
A,0.95,25.789999999999985,LogisticL2,validation_2019_2020,815,100,10,0.7555555555555555,0.40039826613680607,0.7296777633585596,0.4,0.4,0.4,0.1,0.1,,,
A,0.95,25.789999999999985,RandomForest,validation_2019_2020,815,100,10,0.8766666666666667,0.6243333333333333,0.19414614788783824,0.5333333333333333,0.8,0.64,0.1,0.15,,,
A,0.95,25.789999999999985,ExtraTrees,validation_2019_2020,815,100,10,0.8700000000000001,0.5198151101659874,0.15881967620964194,0.45,0.9,0.6,0.1,0.2,,,
A,0.95,25.789999999999985,HistGB,validation_2019_2020,815,100,10,0.8155555555555555,0.48200351935646046,0.008791171232778814,0.6,0.6,0.6,0.1,0.1,,,
A,0.95,25.789999999999985,RandomForest,test_2022_2026,938,34,3,0.7311827956989247,0.23333333333333334,0.19414614788783824,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.08823529411764706,0.08823529411764706,0.8766666666666667,0.6243333333333333,0.64
B,0.9,1.5880000000000007,LogisticL2,validation_2019_2020,815,100,13,0.6357206012378427,0.2227017641773514,0.773361095785034,0.28,0.5384615384615384,0.3684210526315789,0.13,0.25,,,
B,0.9,1.5880000000000007,RandomForest,validation_2019_2020,815,100,13,0.7099911582670203,0.25361725964799114,0.2010562244489636,0.2571428571428571,0.6923076923076923,0.375,0.13,0.35,,,
B,0.9,1.5880000000000007,ExtraTrees,validation_2019_2020,815,100,13,0.7011494252873562,0.31535620153267213,0.21053346540041593,0.225,0.6923076923076923,0.33962264150943394,0.13,0.4,,,
B,0.9,1.5880000000000007,HistGB,validation_2019_2020,815,100,13,0.6878868258178603,0.2795916551522328,0.027089935590592425,0.26666666666666666,0.6153846153846154,0.37209302325581395,0.13,0.3,,,
B,0.9,1.5880000000000007,ExtraTrees,test_2022_2026,938,34,4,0.7583333333333334,0.42901583710407243,0.21053346540041593,0.16666666666666666,0.25,0.2,0.11764705882352941,0.17647058823529413,0.7011494252873562,0.31535620153267213,0.33962264150943394
B,0.95,4.073999999999996,LogisticL2,validation_2019_2020,815,100,5,0.72,0.18983371126228268,0.9795086636257642,0.3,0.6,0.4,0.05,0.1,,,
B,0.95,4.073999999999996,RandomForest,validation_2019_2020,815,100,5,0.8463157894736841,0.43023156089193826,0.25788364754756193,0.3,0.6,0.4,0.05,0.1,,,
B,0.95,4.073999999999996,ExtraTrees,validation_2019_2020,815,100,5,0.8336842105263157,0.4317317612380251,0.25646448881625294,0.3,0.6,0.4,0.05,0.1,,,
B,0.95,4.073999999999996,HistGB,validation_2019_2020,815,100,5,0.7052631578947368,0.3364069264069264,0.036432575513743085,0.3,0.6,0.4,0.05,0.1,,,
B,0.95,4.073999999999996,ExtraTrees,test_2022_2026,938,34,1,0.9696969696969697,0.5,0.25646448881625294,0.25,1.0,0.4,0.029411764705882353,0.11764705882352941,0.8336842105263157,0.4317317612380251,0.4
C,0.9,82.196,LogisticL2,validation_2019_2020,815,100,13,0.6162687886825817,0.18576619328410193,0.4994115685379145,0.23333333333333334,0.5384615384615384,0.32558139534883723,0.13,0.3,,,
C,0.9,82.196,RandomForest,validation_2019_2020,815,100,13,0.5349248452696729,0.18466671536302134,0.1874649705566797,0.24,0.46153846153846156,0.3157894736842105,0.13,0.25,,,
C,0.9,82.196,ExtraTrees,validation_2019_2020,815,100,13,0.5481874447391689,0.18223684847319405,0.23252264248076818,0.26666666666666666,0.3076923076923077,0.2857142857142857,0.13,0.15,,,
C,0.9,82.196,HistGB,validation_2019_2020,815,100,13,0.6030061892130858,0.30929978616472786,0.04478146793104674,0.4,0.3076923076923077,0.34782608695652173,0.13,0.1,,,
C,0.9,82.196,HistGB,test_2022_2026,938,34,3,0.5591397849462365,0.18619883040935672,0.04478146793104674,0.0,0.0,0.0,0.08823529411764706,0.058823529411764705,0.6030061892130858,0.30929978616472786,0.34782608695652173
C,0.95,95.97799999999998,LogisticL2,validation_2019_2020,815,100,8,0.59375,0.1681299636417779,0.4401882150111597,0.2,0.625,0.30303030303030304,0.08,0.25,,,
C,0.95,95.97799999999998,RandomForest,validation_2019_2020,815,100,8,0.7214673913043479,0.1691963596674972,0.11720185673918737,0.16666666666666666,0.625,0.2631578947368421,0.08,0.3,,,
C,0.95,95.97799999999998,ExtraTrees,validation_2019_2020,815,100,8,0.6494565217391305,0.14531992849474734,0.08600798780204166,0.15,0.75,0.25,0.08,0.4,,,
C,0.95,95.97799999999998,HistGB,validation_2019_2020,815,100,8,0.7105978260869565,0.15635653278542677,0.0016533178429205182,0.16666666666666666,0.625,0.2631578947368421,0.08,0.3,,,
C,0.95,95.97799999999998,RandomForest,test_2022_2026,938,34,3,0.5268817204301075,0.13223443223443224,0.11720185673918737,0.1111111111111111,0.3333333333333333,0.16666666666666666,0.08823529411764706,0.2647058823529412,0.7214673913043479,0.1691963596674972,0.2631578947368421
D,0.9,51.70000000000001,LogisticL2,validation_2019_2020,815,100,14,0.49667774086378735,0.1451402740761973,0.03962793223957902,0.15555555555555556,1.0,0.2692307692307692,0.14,0.9,,,
D,0.9,51.70000000000001,RandomForest,validation_2019_2020,815,100,14,0.6320598006644519,0.2711292651031704,0.277784066972911,0.28,0.5,0.358974358974359,0.14,0.25,,,
D,0.9,51.70000000000001,ExtraTrees,validation_2019_2020,815,100,14,0.6104651162790697,0.33121710869490106,0.19567667727294075,0.2,0.5714285714285714,0.2962962962962963,0.14,0.4,,,
D,0.9,51.70000000000001,HistGB,validation_2019_2020,815,100,14,0.5913621262458472,0.26444046704703383,0.04282346083045397,0.3,0.42857142857142855,0.35294117647058826,0.14,0.2,,,
D,0.9,51.70000000000001,ExtraTrees,test_2022_2026,938,34,4,0.9333333333333333,0.8333333333333333,0.19567667727294075,0.3333333333333333,1.0,0.5,0.11764705882352941,0.35294117647058826,0.6104651162790697,0.33121710869490106,0.2962962962962963
D,0.95,78.87999999999992,LogisticL2,validation_2019_2020,815,100,8,0.7065217391304348,0.18989007463291663,0.6443435162308054,0.26666666666666666,0.5,0.34782608695652173,0.08,0.15,,,
D,0.95,78.87999999999992,RandomForest,validation_2019_2020,815,100,8,0.7866847826086957,0.3095062762950054,0.19270247234355176,0.25,0.625,0.35714285714285715,0.08,0.2,,,
D,0.95,78.87999999999992,ExtraTrees,validation_2019_2020,815,100,8,0.8478260869565217,0.3359735988412459,0.12542837300331233,0.23333333333333334,0.875,0.3684210526315789,0.08,0.3,,,
D,0.95,78.87999999999992,HistGB,validation_2019_2020,815,100,8,0.8355978260869565,0.3851222884798202,0.005626279015458649,0.3,0.75,0.42857142857142855,0.08,0.2,,,
D,0.95,78.87999999999992,HistGB,test_2022_2026,938,34,2,1.0,1.0,0.005626279015458649,0.2857142857142857,1.0,0.4444444444444444,0.058823529411764705,0.20588235294117646,0.8355978260869565,0.3851222884798202,0.42857142857142855
E,0.9,38.406,LogisticL2,validation_2019_2020,815,100,20,0.63875,0.3538744231231512,0.6117724024354896,0.34285714285714286,0.6,0.43636363636363634,0.2,0.35,,,
E,0.9,38.406,RandomForest,validation_2019_2020,815,100,20,0.64,0.3676462961197994,0.1447445366913216,0.27692307692307694,0.9,0.4235294117647059,0.2,0.65,,,
E,0.9,38.406,ExtraTrees,validation_2019_2020,815,100,20,0.578125,0.3297890875843877,0.11299644452100911,0.2235294117647059,0.95,0.3619047619047619,0.2,0.85,,,
E,0.9,38.406,HistGB,validation_2019_2020,815,100,20,0.6275,0.34487375522418473,0.04530348299920194,0.4666666666666667,0.35,0.4,0.2,0.15,,,
E,0.9,38.406,RandomForest,test_2022_2026,938,34,7,0.7407407407407407,0.5271226770278004,0.1447445366913216,0.3,0.8571428571428571,0.4444444444444444,0.20588235294117646,0.5882352941176471,0.64,0.3676462961197994,0.4235294117647059
E,0.95,43.32999999999999,LogisticL2,validation_2019_2020,815,100,13,0.49513704686118476,0.16716229989153084,0.0033687253699890233,0.1411764705882353,0.9230769230769231,0.24489795918367346,0.13,0.85,,,
E,0.95,43.32999999999999,RandomForest,validation_2019_2020,815,100,13,0.5587975243147657,0.18394066542109672,0.051913576535143995,0.15294117647058825,1.0,0.2653061224489796,0.13,0.85,,,
E,0.95,43.32999999999999,ExtraTrees,validation_2019_2020,815,100,13,0.5623342175066314,0.21861850725799473,0.0971598514135248,0.18181818181818182,0.7692307692307693,0.29411764705882354,0.13,0.55,,,
E,0.95,43.32999999999999,HistGB,validation_2019_2020,815,100,13,0.5384615384615385,0.14167321102402503,0.00027276889816691145,0.17142857142857143,0.9230769230769231,0.2891566265060241,0.13,0.7,,,
E,0.95,43.32999999999999,ExtraTrees,test_2022_2026,938,34,4,0.7666666666666666,0.6375,0.0971598514135248,0.15789473684210525,0.75,0.2608695652173913,0.11764705882352941,0.5588235294117647,0.5623342175066314,0.21861850725799473,0.29411764705882354
F,0.9,125.22000000000003,LogisticL2,validation_2019_2020,815,100,14,0.6254152823920266,0.22899042591518265,0.30610249649251114,0.2222222222222222,0.7142857142857143,0.3389830508474576,0.14,0.45,,,
F,0.9,125.22000000000003,RandomForest,validation_2019_2020,815,100,14,0.7931893687707642,0.37677709393362024,0.24428449861623477,0.3333333333333333,0.7142857142857143,0.45454545454545453,0.14,0.3,,,
F,0.9,125.22000000000003,ExtraTrees,validation_2019_2020,815,100,14,0.7915282392026578,0.4525378866280054,0.2692199249460673,0.36666666666666664,0.7857142857142857,0.5,0.14,0.3,,,
F,0.9,125.22000000000003,HistGB,validation_2019_2020,815,100,14,0.7990033222591363,0.4604253817467667,0.030983438141173308,0.4,0.5714285714285714,0.47058823529411764,0.14,0.2,,,
F,0.9,125.22000000000003,HistGB,test_2022_2026,938,34,8,0.6875,0.5183540723981901,0.030983438141173308,0.5,0.5,0.5,0.23529411764705882,0.23529411764705882,0.7990033222591363,0.4604253817467667,0.47058823529411764
F,0.95,166.4099999999999,LogisticL2,validation_2019_2020,815,100,8,0.7404891304347826,0.26835724006888145,0.31256500350818894,0.16666666666666666,0.625,0.2631578947368421,0.08,0.3,,,
F,0.95,166.4099999999999,RandomForest,validation_2019_2020,815,100,8,0.7921195652173914,0.3099746148459384,0.3269820128931823,0.4,0.5,0.4444444444444444,0.08,0.1,,,
F,0.95,166.4099999999999,ExtraTrees,validation_2019_2020,815,100,8,0.7581521739130435,0.37567937163829934,0.20072086468104094,0.25,0.625,0.35714285714285715,0.08,0.2,,,
F,0.95,166.4099999999999,HistGB,validation_2019_2020,815,100,8,0.8315217391304348,0.29420045197129713,0.002935849530522366,0.25,0.625,0.35714285714285715,0.08,0.2,,,
F,0.95,166.4099999999999,ExtraTrees,test_2022_2026,938,34,4,0.9666666666666667,0.6791666666666667,0.20072086468104094,0.8,1.0,0.8888888888888888,0.11764705882352941,0.14705882352941177,0.7581521739130435,0.37567937163829934,0.35714285714285715
G,0.9,160.114,LogisticL2,validation_2019_2020,815,100,12,0.512310606060606,0.14340542963548392,0.27867281430809404,0.13333333333333333,0.6666666666666666,0.2222222222222222,0.12,0.6,,,
G,0.9,160.114,RandomForest,validation_2019_2020,815,100,12,0.7793560606060606,0.26758350051032975,0.1696802969694743,0.24444444444444444,0.9166666666666666,0.38596491228070173,0.12,0.45,,,
G,0.9,160.114,ExtraTrees,validation_2019_2020,815,100,12,0.8011363636363636,0.3409668982383591,0.2595549817443955,0.32,0.6666666666666666,0.43243243243243246,0.12,0.25,,,
G,0.9,160.114,HistGB,validation_2019_2020,815,100,12,0.7679924242424242,0.29528872812146784,0.004502593477128727,0.24,1.0,0.3870967741935484,0.12,0.5,,,
G,0.9,160.114,ExtraTrees,test_2022_2026,938,34,1,0.6666666666666667,0.08333333333333333,0.2595549817443955,0.0,0.0,0.0,0.029411764705882353,0.14705882352941177,0.8011363636363636,0.3409668982383591,0.43243243243243246
G,0.95,261.73999999999944,LogisticL2,validation_2019_2020,815,100,4,0.5546875,0.1329696873175134,0.9917721569623573,0.2,0.25,0.2222222222222222,0.04,0.05,,,
G,0.95,261.73999999999944,RandomForest,validation_2019_2020,815,100,4,0.6067708333333333,0.16738835866619536,0.3751146113405546,0.2,0.25,0.2222222222222222,0.04,0.05,,,
G,0.95,261.73999999999944,ExtraTrees,validation_2019_2020,815,100,4,0.5755208333333334,0.2918846028113763,0.34136242135424893,0.2,0.25,0.2222222222222222,0.04,0.05,,,
G,0.95,261.73999999999944,HistGB,validation_2019_2020,815,100,4,0.5989583333333334,0.29148590209306346,0.10977223792397116,0.2,0.25,0.2222222222222222,0.04,0.05,,,
G,0.95,261.73999999999944,ExtraTrees,test_2022_2026,938,34,0,,,0.34136242135424893,0.0,0.0,0.0,0.0,0.0,0.5755208333333334,0.2918846028113763,0.2222222222222222
H,0.9,0.2,LogisticL2,validation_2019_2020,815,100,15,0.6290196078431374,0.38626147111729114,0.6417554779159764,0.35,0.4666666666666667,0.4,0.15,0.2,,,
H,0.9,0.2,RandomForest,validation_2019_2020,815,100,15,0.6360784313725489,0.3811811389002632,0.16649831448132615,0.3,0.6,0.4,0.15,0.3,,,
H,0.9,0.2,ExtraTrees,validation_2019_2020,815,100,15,0.6415686274509804,0.3461618064774158,0.21880845120271328,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.15,0.15,,,
H,0.9,0.2,HistGB,validation_2019_2020,815,100,15,0.580392156862745,0.34801042521829406,0.005171011862010112,0.3,0.4,0.34285714285714286,0.15,0.2,,,
H,0.9,0.2,LogisticL2,test_2022_2026,938,34,6,0.5059523809523809,0.22611490212296664,0.6417554779159764,0.25,0.16666666666666666,0.2,0.17647058823529413,0.11764705882352941,0.6290196078431374,0.38626147111729114,0.4
H,0.95,0.35299999999999954,LogisticL2,validation_2019_2020,815,100,7,0.5852534562211982,0.12383353461980881,0.009649813613587566,0.1,1.0,0.18181818181818182,0.07,0.7,,,
H,0.95,0.35299999999999954,RandomForest,validation_2019_2020,815,100,7,0.6728110599078341,0.3841513686384125,0.199761291073932,0.6,0.42857142857142855,0.5,0.07,0.05,,,
H,0.95,0.35299999999999954,ExtraTrees,validation_2019_2020,815,100,7,0.6482334869431644,0.3859213250517598,0.30272360854653574,0.6,0.42857142857142855,0.5,0.07,0.05,,,
H,0.95,0.35299999999999954,HistGB,validation_2019_2020,815,100,7,0.7019969278033793,0.3784013605442177,0.004345016867445699,0.3,0.42857142857142855,0.35294117647058826,0.07,0.1,,,
H,0.95,0.35299999999999954,ExtraTrees,test_2022_2026,938,34,2,0.375,0.08496732026143791,0.30272360854653574,0.0,0.0,0.0,0.058823529411764705,0.029411764705882353,0.6482334869431644,0.3859213250517598,0.5
